organisasjonsnummer,navn,adresse,postnummer,epostadresse,telefon,mobil,company_website
811633992,HÅVAR ÅSHEIM,"Hellumsenga 18, 3370 VIKERSUND",3370,,,,
811634182,AS H GABRIEL FINNE & CO ARKITEKT OG KONSULENTFIRMA,"Josefines gate 27, 0351 OSLO",0351,,,,
811634662,CASA LELLA AS,"Olaf Schous vei 7, 0572 OSLO",0572,,,91323125,
811635162,BBK BIO AIRCLEAN,"Linnerupvej 5, DK-7160 Tørring",,,,,
811636002,SOFUS O SELE,"Selevegen 40, 4354 VOLL",4354,,,974 67 125,
811636282,KVALITETSSNEKKEREN AS,"c/o Jørgen Skipperud, Markveien 54, 0554 OSLO",0554,,,950 48 904,
811637432,FINNSJOE SAILING,"Brekkelia 20, 3153 TOLVSRØD",3153,haraldfinnsjo@gmail.com,,952 37 961,
811639222,LARSHAV CONSULTING,,,,+4597709011,+4560407890,
811639842,F.F.F - FELLESMEIERIETS FRITIDSFORENING,"Bedriftsveien 7, 0950 OSLO",0950,,,,
811640522,ENZIAN AS,"c/o Amira Regnskap AS, Brogata 7, 2000 LILLESTRØM",2000,holmechr@gmail.com,,,
811641332,KURDISTAN FREEDOM PARTY,"Sinsenveien 64C, 0586 OSLO",0586,rebwar125@hotmail.com,,40089455,
811641642,VESTENFJELDSKE VETERINÆRFORENING,"Grønlandsvegen 6A, 5918 FREKHAUG",5918,eculvik@online.no,,974 19 604,https://vestenfjeldske.org/
811642622,OSLO PERFORMANCE TRAINING,"Lilleberg 3, 3274 LARVIK",3274,remirefsdal@hotmail.com,,591 83 126,
811643122,HAKALLESTRANDA UTVIKLING,"c/o Dag Molvik, Hakallestranda 358, 6149 ÅRAM",6149,dag.molvik@ssikt.no,,907 91 291,
811644072,HOFF ELEKTROTEKNIKK,"Fjordveien 37, 8522 BEISFJORD",8522,bjarte@bhfoto.no,,,
811644412,REGALIS EIENDOM AS,"Lørenveien 73A, 0585 OSLO",0585,kjetil@regaliseiendom.no,,,https://regaliseiendom.no/
811644862,UNI-CONSULTING AS,"Klokkerstigen 4, 2090 HURDAL",2090,,,,
811646482,SP MANAGEMENT AS,"Holmendammen terrasse 2C, 0773 OSLO",0773,,,,
811648272,MONICA H. HAUGLAND,"Kvartsveien 3, 1475 FINSTADJORDET",1475,monica.hosoy.haugland@hotmail.com,,922 20 744,
811648582,VIGRA KRISTELEGE UNGDOMSLAG,"Kyrkjevegen 651, 6040 VIGRA",6040,oddhelge99@msn.com,,902 24 622,https://imfvigra.no/ungdom/
811649422,APRH HOLDING AS,"Glabakkveien 7, 2007 KJELLER",2007,anette.hemmingby@gmail.com,63 81 07 59,476 40 620,https://yra.no/en/company/811649422
811649732,SAMEIET BOGSTADVEIEN 3-5,"Sandakerveien 64, 0484 OSLO",0484,firmapost@obf.no,22 12 23 40,,
811649872,FISKEHUSET & CO NUF,"Gate 1 3, 6700 MÅLØY",6700,,,,
811650072,HOBTECH AS,"Gullåsvegen 32, 3947 LANGANGEN",3947,,,,
811650382,GJERDSETBYGDA VEGLAG SA,"Gjerdsetbygda, 6320 ISFJORDEN",6320,pettgje@online.no,,482 87 161,
811651222,HK-KLUBBEN I LO,"Torggata 12, 0181 OSLO",0181,,,,https://hk.no/
811651532,LOFOTPRODUKT OSLO PRODUKSJON AS,"Akershusstranda 23, 0150 OSLO",0150,,22 82 35 90,,
811651842,KVERNMO EIENDOM HOLDING AS,"Industrivegen 8, 7652 VERDAL",7652,,,,https://kvernmo.no/privat/
811653942,SNAH HOLDING AS,"Krokvegen 49, 9020 TROMSDALEN",9020,,,,
811654132,DOCTOR OK AS,"Fredensborgveien 118A, 8005 BODØ",8005,,75 54 99 49,,
811654302,ENGEN SERVICE BYGG OG VEDLIKEHOLD,"Bjørnstadveien 13, 3480 FILTVET",3480,engen.service@gmail.com,,467 95 881,
811654922,NORDVANGS VENNER,"c/o Odd Skarsgard, Nordbygdvegen 2116, 3570 ÅL",3570,odd.skarsgard@sdsl.no,,,
811655082,SUNNYLVEN PENSJONISTLAG,"c/o Astrid Langeland, Langedalsvegen 333, 6218 HELLESYLT",6218,,,906 75 234,
811655252,MD SØRENSEN,"Sollia 5J, 3058 SOLBERGMOEN",3058,,,,
811655422,GUNNAR PEDERSEN INNGÅR I DØDSBO,"Opåsvegen 29, 2266 ARNEBERG",2266,,,,
811655732,B.R.A,"c/o Mathias Sønvisen Moe, Gakoriveien 1B, 9512 ALTA",9512,erlend@bra-alta.no,,952 76 413,
811655902,CAPRI CLUB NORGE,"Marnarveien 817, 4519 HOLUM",4519,,,958 16 942,https://www.capriclubnorge.no/
811656232,NES FORFATTER FORENING,"Elvenesveien 17, 1666 ROLVSØY",1666,tord@lyshaugen.com,,909 77 785,https://www.forfatterforeningen.no/english/
811656682,TRELASTEN ELVERUM AS,"Fabrikkveien 2, 2450 RENA",2450,elverum@btkjeden.no,,,https://www.byggtorget.no/butikker/rena
811656712,FREDTUN,"c/o Roger Møller, Ytre Rågot 6, 6083 GJERDSVIKA",6083,,,,https://fredtun.org/
811656992,LIVERBIRDS SARPSBORG,"c/o Jaran Sæves, Nesveien 40, 1734 HAFSLUNDSØY",1734,jarsae@online.no,,418 00 647,https://www.liverbirdssarpsborgnorway.com/
811657522,STORDALSSTØLEN HYTTEGREND,"c/o Palmer Helland, Oterdalen 5, 5914 ISDALSTØ",5914,palmerhelland4@gmail.com,,909 45 280,https://stordalenhytte.no/stordalsstolen-hyttegrend/
811659282,ODDLEIV JEVNLID,"Panoramavegen 1405, 6795 BLAKSÆTER",6795,jevnlid@hotmail.no,91 31 49 47,913 14 947,
811660582,BREMANGER SAU OG GEIT,"v/ Åse Leirgulen, Leirgulen, 6734 RUGSUND",6734,,,909 67 726,https://www.nsg.no/sfsg/lokallag/bremanger-sau-og-geit/
811661112,TL SALONGENE AS,"c/o Park 29, Parkveien 29, 0350 OSLO",0350,,,,
811661252,JONAS EVENSEN,"Skogveien 22, 9403 HARSTAD",9403,jonas_evensen90@hotmail.com,,47843460,
811661902,DAIT&KAUSHAL DA,"C/O Deli de Luca Norge AS, Karenslyst Allè 12-14, 0278 OSLO",0278,,,,https://oljelandet.no/bedrift/dait-kaushal-da
811662232,SJURSNES HYTTEFORENING,"Nerskogbakken 2, 9517 ALTA",9517,iver@online.no,,900 30 236,
811662372,MARIN-TEC SP.Z.O.O.,"Ul. Gryfa Pomorskiego 61, 81-572 Gdynia",,,,,
811662712,WALTER HEIDKAMP MÅL & MENING,"Osterhaus' gate 10, 0183 OSLO",0183,walterheidkampf@live.no,,404 38 057,
811665762,O FJELBERG AS,"Bygdøy Alle 56, 0265 OSLO",0265,,22446041,,
811668052,THOMAS DALEN CINEMATOGRAPHER,"Ulvenvegen 30, 5210 OS",5210,thomas_dalen93@hotmail.com,,928 55 624,https://www.thomasdalen.com/
811668532,BERNT ERIK OLSEN,"Bjørndalen allé 13, 4631 KRISTIANSAND S",4631,berneol@online.no,,416 30 263,https://oljelandet.no/person/bernt-erik-olsen-1973
811669202,ROMSDAL EIENDOMSMEGLING AS,"Fannestrandvegen 49B, 6415 MOLDE",6415,,71 20 04 00,,
811669342,OPTIMUSPISTOR AS,"Hospitsveien 21, 0789 OSLO",0789,,,,
811669482,ALVÆRA GARD NILS FLATJORD,"Åsvegen 146, 2033 ÅSGREINA",2033,nils.flatjord@hotmail.com,,916 25 818,
811669512,NILSEN TV-SERVICE,"Bamseveien 20, 4844 ARENDAL",4844,,,922 24 422,
811671592,PLANKFONDS AS,"c/o Håvard Aakerøy, Haugnessvingen 21, 7038 TRONDHEIM",7038,havard.aakeroy@gmail.com,,481 57 932,
811671622,AZELIS DENMARK,"Lundtoftegårdsvej 95, 2800 Kongens Lyngby",,,,,https://www.azelis.com/en/homepage
811671762,MOMS FINANS SWEDEN AB,,,,,,
811673862,ADELIN AS,"Kongegata 27, 3256 LARVIK",3256,adelin@fjeldskaar.no,,900 17 745,
811674362,KNALLSKUDD MEDIA - KVALØY,"Norevegen 12, 2040 KLØFTA",2040,kvaloy19@gmail.com,,415 98 184,https://knallskudd.media/
811674532,PROVENCEREISER AABEL,"Høivold brygge 20, 4631 KRISTIANSAND S",4631,,,,
811674982,SAMEIET TOFTES GATE 55,"Toftes gate 55, 0552 OSLO",0552,toftesgate44@hotmail.no,,,
811675032,OSLO COLLEGE OF MANAGMENT DA,"Solheimveien 85, 1473 LØRENSKOG",1473,kamrosh87@gmail.com,90 07 44 98,976 26 113,
811675482,ANDRE J UGLAND HOLDING AS,"Grooseveien 170, 4879 GRIMSTAD",4879,,,97047714,
811675792,STEINAR BERGENE,"Lågendalsveien 524, 3270 LARVIK",3270,,,,
811676632,T.NORDSKAUG AS,"Kjetterudveien 5, 1435 ÅS",1435,,,,
811678082,DUBRAVO APS,"c/o Per Lindorf Jørgensen, Parkgyden 1 Allesø, DK-5270 ODENSE N",,,,,
811678112,DUBRAVO APS,"c/o Per Lindorf Jørgensen, Parkgyden 1 Allesø, DK-5270 ODENSE N",,,+4552221202,,
811679402,UTDANNINGSFORBUNDET VANYLVEN,"Rådhuset, Rådhusvegen 1, 6143 FISKÅ",6143,post@vanylven.utdanningsforbundet.no,70 03 00 90,913 05 456,https://www.utdanningsforbundet.no/fylkeslag/more-og-romsdal/lokallag/vanylven/
811679712,HØVRINGEN VEL,,,post@hovringenvel.no,,99 45 39 38,https://www.hovringenvel.no/
811679992,BJØRNDALSRUNDENS VENNER,"Landsverkveien 144, 3619 SKOLLENBORG",3619,,,,
811680532,EIDSVOLL COMFORT STAY AS,"Kjølberggata 29A, 0653 OSLO",0653,,,90083478,
811682462,HEDDE GARDSDRIFT IVAR MJELDE,"Åsheimsvegen 25, 4748 RYSSTAD",4748,ivar.mjelde62@gmail.com,,941 53 155,
811683612,HESTNES VELFORENING,4043 HAFRSFJORD,4043,,,,https://hestnesvel.no/
811683922,SOUMAH RENHOLD SEKOU,"Store Landfall øvre 57, 3025 DRAMMEN",3025,,,45541451,https://www.renholdere.no/renholdere/soumah-renhold-sekou/
811684252,CRISTINEL-CONSTANTIN DOBRINCIUC,"Skogveien 6, 8613 MO I RANA",8613,dobrinciuc@yahoo.com,92 51 54 27,0040743300943,https://oljelandet.no/bedrift/cristinel-constantin-dobrinciuc
811684732,KNAPPSKOG PANORAMA AS,"Skålevikveien 60, 5178 LODDEFJORD",5178,,,,
811684872,MANOV GLOBAL AS,"Lille Stranden 8, 0252 OSLO",0252,stefan@monovsales.no,,949 77 719,
811685852,HUMLEREKKA EIERSEKSJONSSAMEIE,"Tussestien 3, 1405 LANGHUS",1405,styret@humlerekka.no,,,https://humlerekka.no/
811686212,SNERTINGDALSSENTERET AS,"Austdalfeltvegen 112, 2838 SNERTINGDAL",2838,,,,
811686522,TORA SYNNØVE UHRN,"Lørenvangen 26, 0585 OSLO",0585,torauhrn@hotmail.com,,99 47 58 55,
811687022,VIKTORS BUTRIMS,"Stenan 26, 7340 OPPDAL",7340,,,,https://yra.no/en/company/811687022
811687162,VIGRA OG VALDERØY PISTOLKLUBB,"Valderhaug 10, 6050 VALDERØYA",6050,leder@vivapk.no,,95180018,https://www.vivapk.no/
811687332,INTERNASJONALT KVINNEFORUM I VALDRES,"c/o Aud Søyland, Sylvsmedvegen 44, 2920 LEIRA I VALDRES",2920,aud.soyland@bbnett.no,,990 37 584,https://internasjonaltkvinneforumivaldres.com/
811687642,IDAFROSK MATKUNST IDA SKIVENES,"Landingsveien 42, 0767 OSLO",0767,,,,
811687952,SUNNE SPILLEMANN RUBACH,"Alstadenga 18, 8071 BODØ",8071,,,,
811688282,RISKA HISTORIE- OG MUSÉUMSLAG,"Hommersandbakken 17, 4311 HOMMERSÅK",4311,riskahistorie@hotmail.com,,,http://riskahistorie.no
811689262,HAALAND BILVERKSTED AS,"Opstadvegen 647, 4360 VARHAUG",4360,taraldh@hotmail.com,,905 06 566,
811689432,HAUKAAS STATSALLMENNING,"Digre Vestre, Bratsbergvegen 658, 7039 TRONDHEIM",7039,ola@haugronning.no,,922 60 607,
811690252,BRUKTBIL FORUM/ELZABOUT,"Bergemoveien 3, 4886 GRIMSTAD",4886,bruktbilforum@yahoo.no,,967 22 888,
811693502,ESPEN ANDRE HANSEN,"Bråtaveien 34, 3050 MJØNDALEN",3050,,,958 00 799,
811694002,POLNORBUD JANKOWSKI SP ZOO,"ul Gorna 70, PL-09-400 PLOCK",,,,,
811694762,TEKNA BEDRIFTSGRUPPE KVÆRNER JACKET TECHNOLOGY TRONDHEIM,"Havnegata 9, 7010 TRONDHEIM",7010,,,,https://www.tekna.no/en/
811695262,STIFTELSEN ISLAMSK OPPLÆRING OG KULTURHUS,"Bergsagelveien 9, 4016 STAVANGER",4016,nur.ali@vegvesen.no,51 63 10 63,951 44 226,
811695432,STOLP AS,"Trollringen 22, 2054 MOGREINA",2054,,,,
811695572,OSLO FORCE BASKETBALL ASSOCIATION,"c/o Per Martin Grøgaard, H0201, Ulvenveien 119C, 0665 OSLO",0665,frances.cerdena@gmail.com,,,
811695602,WEBLANCE AS,"Ryenbergveien 55, 0677 OSLO",0677,jonas@jonassjovaag.no,,928 42 902,https://www.weblance.no/
811696072,PHANTIX AS,"Fiskekroken 3B, 0139 OSLO",0139,,,,
811697192,DANIJO V/PETER DIRKSEN,"Møllevangsvej 18, DK-8940 RANDERS",,danijo@c.dk,+4598772351,4540609365,https://virksomhet.brreg.no/nb/oppslag/enheter/811697192
811697532,D-S EIENDOM AS,"Saudavegen 30, 4200 SAUDA",4200,,,,https://ds-eiendom.no/
811697842,VERVEN C AS,"Verven 42, 4014 STAVANGER",4014,,,,
811699152,IBOLIG AS,"Brobekkveien 80C, 0582 OSLO",0582,,,,https://www.i-bolig.no/
811699632,2 CLAP STUDIO DA,"Haskollveien 79, 3403 LIER",3403,contact@2clapstudio.com,95 28 14 08,984 42 114,
811701262,ITRANSLATE TONE AAKHUS,"Kisteneset 17, 4083 HUNDVÅG",4083,,,,
811701572,KRISTINE ULVESVEEN LUNDGÅRD,"Snertingdalsvegen 2819, 2839 ØVRE SNERTINGDAL",2839,,,,
811701602,SIMPEL AB,"Nordsuddsvägen 4, SE-553 03 JÖNKÖPING",,,,,
811702072,SAMEIGET POSTGARDEN,"v/ Andrè Klingenberg, Tunavegen 21E, 6817 NAUSTDAL",6817,,,,
811702102,ÅLESUND INTERNASJONALE KOR,"Øvre Geilegrend 26, 6017 ÅLESUND",6017,,,99733940,
811702412,FAU VED SOLBAKKEN SKOLE,"c/o Marita Byberg Johansen, Osvegen 210B, 7057 JONSVATNET",7057,maritabyjo@hotmail.com,,,https://www.trondheim.kommune.no/org/oppvekst/skoler/solbakken-skole/
811702552,FÆRDER KONSULENTTJENESTER DØRDAL,"Øvre Smidsrødvei 75, 3120 NØTTERØY",3120,post@nktd.no,,473 77 524,
811703192,STRAND TATTOOING COMPANY,"Marcus Thranes gate 13, 0473 OSLO",0473,shivs.tattoo@gmail.com,,452 81 359,
811703362,LOSI'S AS,"Flaktveitrinden 27, 5135 FLAKTVEIT",5135,kjeitl@losis.no,,452 90 387,
811703672,CHARLOTTENLUND VIDEREGÅENDE SKOLES SENIORLAG,,,hildegunn.plassen@gmail.com,,997 13 741,https://web.trondelagfylke.no/charlottenlund-videregaende-skole/
811703982,SVENSKE KONSTRUKSJON AS,"Karenslyst allé 53, 0279 OSLO",0279,,,,
811704032,MORGEDAL EIGENDOM AS,"Prestegardsvegen 24, 3840 SELJORD",3840,rune@me-as.no,,488 52 607,
811705942,KLEV SETERSKOG VEILAG,"C/O Mads Henrik Almaas, Orestien 18, 1387 ASKER",1387,,,,
811706272,HABNESPRELLET,"c/o Arvid Woll, Ullandsveien 4, 4432 HIDRASUND",4432,arvid.woll@nordan.no,,951 11 475,
811708402,HARØY FOTOKLUBB,"Myra 6, 6296 HARØY",6296,tslatt98@gmail.com,,906 97 286,
811708542,NORDENGKOLLEN SAMEIE,"c/o Anders Bergene, Nordengkollen 44, 1396 BILLINGSTAD",1396,anders.bergene@dlapiper.com,,918 94 801,
811708682,BRØDENVEIEN AVLØPSLAG,"Kvartsveien 18, 1784 HALDEN",1784,,,,
811708712,PUNCHCARD INVEST AS,"Mildevegen 156B, 5259 HJELLESTAD",5259,kjetil@nyland.as,,472 02 357,
811708992,ØYGARDEN & NEDRESKÅR FJELLSPRENGNING AS,"Sannidalsveien 318, 3766 SANNIDAL",3766,,,,
811710792,T.SKAAR,"Otto Sverdrups veg 13, 2816 GJØVIK",2816,,,,
811710962,SYLANE HYTTER AS,"Gammelvegen 30, 7590 TYDAL",7590,post@soerens.no,,951 36 736,
811711462,FLYLØS AS,"Øravegen 4, 6650 SURNADAL",6650,larlos@me.com,,92817859,
811711802,SCHENK UTLEIE AS,"c/o Tor Henrik Schenk, Birkelandsveien 330, 4790 LILLESAND",4790,tor.henrik@lmb.as,,917 17 132,https://schenkutleie.no/
811712132,VINOR AS,"Hvitsteinveien 13, 3085 HOLMESTRAND",3085,vidar@gavita.no,,924 94 846,
811712582,ALTIPLAST LASSE WILLUMSEN,"Skeineshaugen 15, 8140 INNDYR",8140,lassewillumsen@gmail.com,,971 57 477,
811712922,MILJØPARTIET DE GRØNNE TROMS OG FINNMARK,"Storgata 88, 9008 TROMSØ",9008,finnmark@mdg.no,,905 32 955,https://tromsogfinnmark.mdg.no/
811713112,POWER SOLUTIONS MMO AS,"Ekornsvingen 9, 9510 ALTA",9510,post@powersolutions.no,,970 65 245,https://powersolutions.no/
811713902,SOLVILLA AS,"Tidemands gate 21A, 0260 OSLO",0260,,,99 05 55 55,
811714682,A.E. EXSPRESS ERDIN CEHIC,"Paal Bergs vei 20, 0692 OSLO",0692,,41 63 21 36,,
811714992,ELKANIA DA,"c/o Titania AS, 4380 HAUGE I DALANE",4380,,,,
811715492,JSON AS,"Hans Barliens gate 1E, 0568 OSLO",0568,,,,
811716162,AUGLAND BYGGSERVICE AS,"Liankollen 13, 4638 KRISTIANSAND S",4638,,,951 04 157,
811717002,ADMUSIC ADRIAN DU MONCEAU DE BERGENDAL,"Pilestredet 39, 0166 OSLO",0166,,,,
811717142,OLSEN AUTO JESSHEIM AS,"Asfaltvegen 3, 2069 JESSHEIM",2069,,,959 03 017,
811717282,VANJA KRISTOFFERSEN,"Innherredsvegen 12A, 7503 STJØRDAL",7503,vanjakris@online.no,,958 00 556,
811717312,WIGGSON AB NUF,"Bergstien 4C, 0172 OSLO",0172,,,41020685,
811717452,VELFORENINGA HAS,"c/o Berit Kvalsvik Solli, Øvre Plassegjerdet 3, 6098 NERLANDSØY",6098,berit.solli@tussa.com,,993 80 642,https://www.heroy.kommune.no/Organisasjon/OrganisasjonVis.aspx?OrganisasjonId=142&MId1=7632
811717932,JÆRVERK AS,"Rektor Undheims veg 30, 4344 BRYNE",4344,post@aslehaukland.com,,452 00 838,
811718602,GISKE MANNSKOR,"Giskevegen 93, 6052 GISKE",6052,rungiske@online.no,,99637206,
811718882,INNSIKT PÅ UTSIKTEN AS,"Gautestadvegen 19, 4735 EVJE",4735,glennqh@hotmail.com,,990 32 244,
811720402,ML BYGG CLAES MARTIN LINDÉN,"Huths gate 2, 1608 FREDRIKSTAD",1608,martinlindenab@hotmail.com,765896321,91730236,
811720682,VESTNES HUSFLIDSLAG,"c/o Greta Bjerke, Kollen 57, 6390 VESTNES",6390,soltunry@online.no,,480 67 213,https://husflid.no/lag/more-og-romsdal-husflidslag/vestnes-husflidslag/
811721492,BRIGHT PLANET AS,"Lindeberg næringsvei 22, 1067 OSLO",1067,,,,
811721972,GLENNEVEIEN 7 AS,"Glenneveien 7B, 1408 KRÅKSTAD",1408,,,,
811722332,HEILMAT AS,"Storevegen 3, 6884 ØVRE ÅRDAL",6884,,,,
811722502,MALERMESTER RUNE JANJAK AS,"Eikeleina 58, 3472 BØDALEN",3472,,,,https://www.janjak.no/
811723002,ROSSÅ FISKEBRUK DA,"Heng 38, 4121 TAU",4121,,,91712675,https://fiskeriportalen.no/bedrifter/rossa-fiskebruk-da
811723592,SELMER SERVICE,"Bjørndalstunet 34, 3077 SANDE I VESTFOLD",3077,liselmer@online.no,,480 36 129,
811723622,TORNADO TRANSPORT AB,"Box 55, 253 04 PÅARP",,,,,
811724092,NORTHERN BREEZE PRODUCTION DA,"Hausmanns gate 34-38, 0182 OSLO",0182,guneriussen@gmail.com,,45004226,
811725102,FORLAND CONSULTING AS,"c/o Førland, Hammerstads gate 21B, 0363 OSLO",0363,,,,
811726192,RSJ HOLDING AS,"Berte Styris veg 3, 2080 EIDSVOLL",2080,,,,
811726222,MA RUSFRI TRAFIKK AVD. SØR-ROGALAND,"c/o Einar Holger Nese, Orrevegen 463, 4352 KLEPPE",4352,,,,https://www.marusfritrafikk.no/
811726532,BRYNE BULLSHOOTERS,"Meierigata 17, 4340 BRYNE",4340,rune.nilsen@oglsys.no,,976 65 803,https://www.brynebullshooters.com/
811726672,STÅLE SOLBAKKEN,"c/o Knut Eikre Larsen, Peter Østbyes gate 21, 3014 DRAMMEN",3014,kn-larse@online.no,,464 10 869,
811727172,PANMAN AS,"Breivollveien 2, 3072 SANDE I VESTFOLD",3072,,,958 15 253,
811727202,HOLM RF CONSULT,"Langeløkka 5A, 3039 DRAMMEN",3039,rf.consult@la6asa.com,,471 55 155,
811727342,KIRKEVEIEN 71 SAMEIE,"Kinoveien 3A, 1338 SANDVIKA",1338,post@abbl.no,67 57 40 00,,
811727482,VIM TVC - GRØNDALEN,"Vestsidevegen 3204, 3520 JEVNAKER",3520,linegrondalen@gmail.com,61 31 03 05,94891159,
811727652,FHV FORENINGEN,"Øvre Myrhaugen 5, 0752 OSLO",0752,aslak.ona@live.no,,90564650,https://virksomhet.brreg.no/nb/oppslag/enheter/811727652
811727962,STOREBOTN UTLEIE AS,"Storebotn 58, 5309 KLEPPESTØ",5309,,,,https://www.storebotn.no/kontakt-oss
811728012,HJØRUNGAVÅGSPELET,,,,,,
